director_name,director_id,id,budget,popularity,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name,War,Thriller,Music,Fantasy,TV Movie,Crime,Action,Documentary,Western,History,Family,Mystery,Romance,Animation,Drama,Comedy,Foreign,Adventure,Science Fiction,Horror,director_recent_movie_ids,average_director_movie_revenue
Harold Ramis,1524.0,11153,15000000,7.747432,61400000,98.0,National Lampoon's Vacation,7.1,412.0,1983,7,28,108693,National Lampoon's Vacation Collection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,[11977],39846344
Dennis Dugan,17494.0,11077,10000000,5.722116,72000000,81.0,Problem Child,5.5,152.0,1990,7,27,180854,Problem Child Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Brian Levant,13581.0,28597,15000000,8.142992,32704700,90.0,Problem Child 2,5.2,101.0,1991,7,3,180854,Problem Child Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Mic Rodgers,18889.0,10366,33500000,7.805145,10667893,82.0,Universal Soldier: The Return,4.2,138.0,1999,8,5,10713,Universal Soldier Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0
Roland Emmerich,6046.0,9349,23000000,8.035769,94999898,102.0,Universal Soldier,5.8,382.0,1992,7,10,10713,Universal Soldier Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"[7011, 10880, 2927, 71697]",5549723
Jackie Chan,18897.0,10975,15000000,12.276235,24100000,106.0,Armour of God II: Operation Condor,7.0,109.0,1991,2,7,146136,Armour of God Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[10974, 16407, 9056, 25074, 10753, 21519, 21521]",17074596
Jackie Chan,18897.0,10974,15000000,7.278549,16000000,88.0,Armour of God,6.8,111.0,1986,8,16,146136,Armour of God Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"[11563, 16407, 9056, 21519, 19274]",113164
Don Coscarelli,58245.0,9638,300000,6.609336,11988469,89.0,Phantasm,6.5,166.0,1979,3,28,47770,Phantasm Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,[],0
Richard Franklin,29471.0,10576,5000000,6.370495,34725000,113.0,Psycho II,6.0,128.0,1983,6,3,119674,Psycho Collection,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"[43089, 17212]",100000
Anthony Perkins,7301.0,12662,8400000,6.345885,14481606,93.0,Psycho III,5.4,79.0,1986,6,27,119674,Psycho Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[],0
Guy Hamilton,9915.0,658,2500000,13.78884,124881062,110.0,Goldfinger,7.2,1005.0,1964,9,17,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[111752, 67377, 16912, 96828]",4461205
Terence Young,9855.0,657,2500000,12.536729,78900000,115.0,From Russia with Love,6.9,773.0,1963,10,11,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[646, 117781, 172747]",59567035
Terence Young,9855.0,646,1200000,19.931606,59567035,110.0,Dr. No,6.9,953.0,1962,10,4,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[117781, 92401, 172747]",3178969
Randal Kleiser,8876.0,5689,4500000,11.578578,58853106,104.0,The Blue Lagoon,5.8,422.0,1980,7,5,59586,The Blue Lagoon collection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"[621, 9878]",181813770
Sergio Leone,4385.0,391,200000,12.429704,14500000,99.0,A Fistful of Dollars,7.6,909.0,1964,9,12,48317,The Man With No Name Collection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[43020],350000
Chris Columbus,10965.0,772,18000000,13.293722,358994850,120.0,Home Alone 2: Lost in New York,6.3,2459.0,1992,11,19,9888,Home Alone Collection,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"[771, 14367, 38615, 2611]",178715317
Robert Marcarelli,102797.0,29064,7200000,1.789046,12600000,100.0,The Omega Code,4.4,17.0,1999,10,15,122947,Omega Code Series,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[82868],3858350
Malcolm D. Lee,72024.0,16162,9000000,5.055141,34573780,120.0,The Best Man,6.8,38.0,1999,10,22,243598,The Best Man Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,[],0
Paul Verhoeven,10491.0,5548,13000000,13.485583,53424681,102.0,RoboCop,7.1,1494.0,1987,7,17,5547,RoboCop Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"[40072, 12775, 633, 29140]",100000
Irvin Kershner,10930.0,5549,35000000,10.969876,45681173,117.0,RoboCop 2,5.6,498.0,1990,6,22,5547,RoboCop Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,[36670],160000000
John Glen,10179.0,699,28000000,9.765123,187412802,127.0,For Your Eyes Only,6.3,497.0,1981,6,23,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,[],0
John Glen,10179.0,709,32000000,11.137888,156167015,133.0,Licence to Kill,5.9,549.0,1989,7,7,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[707, 699, 708, 700]",179631665
Guy Hamilton,9915.0,253,7000000,9.773768,126377836,121.0,Live and Let Die,6.4,540.0,1973,7,5,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[658, 681, 34388, 11463, 111752]",120450304
Terence Young,9855.0,660,5500000,10.517835,141195658,130.0,Thunderball,6.5,572.0,1965,12,16,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[657, 646, 117781, 172747]",69233518
George A. Romero,14999.0,16281,8000000,10.434018,21028755,120.0,Creepshow,6.7,228.0,1982,11,12,107725,Creepshow Collection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"[22167, 29425, 923, 26517]",55000000
Michael Gornick,15056.0,16288,3500000,9.330087,14000000,92.0,Creepshow 2,5.9,133.0,1987,5,1,107725,Creepshow Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[],0
Michael Haigney,65428.0,10228,30000000,7.556826,163600000,75.0,Pokémon: The First Movie: Mewtwo Strikes Back,6.7,336.0,1998,7,18,34055,Pokémon Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],0
Michael Apted,10781.0,36643,135000000,12.130127,361832400,128.0,The World Is Not Enough,6.0,878.0,1999,11,8,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[1945, 26203, 11306, 26246, 12395, 20562, 15771, 26622, 215134]",46910832
John Lasseter,7879.0,863,90000000,17.547693,497375381,92.0,Toy Story 2,7.3,3914.0,1999,10,30,10194,Toy Story Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"[862, 9487, 13928]",252594275
Jack Nicholson,514.0,32669,19000000,4.476578,10005969,138.0,The Two Jakes,6.2,48.0,1990,8,10,359005,The Jake Gittes Collection,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,[],0
Mike Mitchell,64151.0,10402,17000000,6.567794,65500000,88.0,Deuce Bigalow: Male Gigolo,5.4,314.0,1999,12,10,95664,Deuce Bigalow Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Rob Minkoff,18898.0,10137,133000000,8.3595,300100000,84.0,Stuart Little,5.8,998.0,1999,12,17,99727,Stuart Little Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,[],0
James Algar,5690.0,49948,80000000,14.972573,60655420,74.0,Fantasia 2000,7.0,300.0,1999,12,17,55427,Fantasia Collection,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,[],0
Steve Carr,52112.0,10471,11000000,10.06545,59800000,98.0,Next Friday,6.5,145.0,2000,1,12,43563,Friday Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Emile Ardolino,716.0,2005,31000000,18.83065,231605150,100.0,Sister Act,6.5,713.0,1992,5,28,103573,Sister Act Collection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[88, 3064, 11630]",115438621
Bill Duke,1103.0,6279,38000000,12.986842,57319029,107.0,Sister Act 2: Back in the Habit,5.9,384.0,1993,12,9,103573,Sister Act Collection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[79888, 41780, 20676]",10400000
Penelope Spheeris,58448.0,8872,20000000,10.180776,183097323,94.0,Wayne's World,6.5,738.0,1992,2,14,8979,Wayne's World Collection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[36724, 22323, 28054, 26574, 103601, 82153]",12166932
Stephen Surjik,56155.0,8873,40000000,10.931683,48198019,95.0,Wayne's World 2,5.8,281.0,1993,12,10,8979,Wayne's World Collection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Phillip Noyce,13015.0,9869,45000000,11.075674,178100000,117.0,Patriot Games,6.4,440.0,1992,6,4,192492,The Jack Ryan Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"[10493, 19124]",5258518
Robert Rodriguez,2294.0,9367,7225,9.972591,2000000,81.0,El Mariachi,6.6,243.0,1992,9,4,9649,Mexico Trilogy,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
Wes Craven,5140.0,4234,40000000,9.738371,161834276,116.0,Scream 3,5.7,749.0,2000,2,3,2602,Scream Collection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"[12158, 11596, 4232, 4233, 26149, 13122]",78069419
Troy Duffy,54795.0,8374,6000000,12.457908,50000000,108.0,The Boondock Saints,7.2,848.0,1999,1,22,87186,The Boondock Saints Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
David Twohy,28239.0,2787,23000000,6.424399,53187659,108.0,Pitch Black,6.7,1812.0,2000,2,18,2794,The Chronicles of Riddick Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"[10547, 37420]",14063331
Jonathan Lynn,21217.0,2069,41300000,12.061521,106371651,98.0,The Whole Nine Yards,6.3,540.0,2000,2,18,103577,The Whole Nine/Ten Yards Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[9099, 17770, 10377, 10411, 11131, 12778]",49547830
George Lucas,1.0,838,777000,9.188584,140000000,110.0,American Graffiti,6.9,330.0,1973,8,1,124950,American Graffiti Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"[636, 140979]",2437000
James Frawley,68457.0,11176,8000000,6.769866,65200000,97.0,The Muppet Movie,7.0,168.0,1979,5,31,256377,The Muppet Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"[19133, 154073]",6566537
Frank Oz,7908.0,11899,8000000,5.89335,25500000,94.0,The Muppets Take Manhattan,6.5,102.0,1984,7,13,256377,The Muppet Collection,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,[],0
James Wong,57134.0,9532,23000000,14.961416,112900000,98.0,Final Destination,6.4,1416.0,2000,3,16,8864,Final Destination Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[],0
Michael Winner,19244.0,13939,3000000,12.968011,22000000,93.0,Death Wish,7.0,165.0,1974,7,24,14377,Death Wish Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"[139058, 19403, 42500, 26119, 42738, 42526]",10023751
Michael Winner,19244.0,14373,2000000,7.965003,45000000,88.0,Death Wish 2,6.1,74.0,1982,2,20,14377,Death Wish Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[13939, 1815, 19403, 18196, 26119, 47561, 42738, 36820]",11000002
Michael Winner,19244.0,24873,9000000,12.829904,16116878,92.0,Death Wish 3,6.1,68.0,1985,11,1,14377,Death Wish Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"[14373, 1815, 18196, 47561, 36820]",22500002
J. Lee Thompson,18669.0,26263,5000000,4.566325,6880310,99.0,Death Wish 4: The Crackdown,5.6,51.0,1987,6,11,14377,Death Wish Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[12715, 53426, 37936, 18587, 33055, 9838, 57578, 11767]",11032543
Allan A. Goldstein,52325.0,34746,5000000,3.595599,1702394,95.0,Death Wish 5: The Face of Death,5.0,46.0,1994,1,14,14377,Death Wish Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,[],0
Steve Barron,18308.0,1498,13500000,13.184585,201965915,93.0,Teenage Mutant Ninja Turtles,6.5,486.0,1990,3,30,1582,Teenage Mutant Ninja Turtles (Original) Collection,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,[19596],2193612
Michael Pressman,59649.0,1497,25000000,7.994266,78656813,88.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.8,290.0,1991,3,22,1582,Teenage Mutant Ninja Turtles (Original) Collection,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,"[37607, 23096]",17023540
Stuart Gillard,76418.0,1499,21000000,8.13688,42273609,96.0,Teenage Mutant Ninja Turtles III,5.1,189.0,1993,3,17,1582,Teenage Mutant Ninja Turtles (Original) Collection,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,[87122],2722596
Donald Petrie,18281.0,11520,35100000,7.529482,70200000,103.0,Grumpy Old Men,6.5,176.0,1993,12,25,119050,Grumpy Old Men Collection,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"[11191, 24073]",12076171
Robert Rossen,14875.0,990,2000000,9.333533,7600000,134.0,The Hustler,7.6,243.0,1961,9,25,387219,The Hustler Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[46884, 42668, 37373]",5000000
Guy Hamilton,9915.0,17339,5000000,5.05047,7230000,118.0,Force 10 from Navarone,6.4,94.0,1978,11,1,366826,Navarone Collection,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[253, 682, 681, 11463]",113323128
John McTiernan,1090.0,106,15000000,18.495694,98267558,107.0,Predator,7.3,2129.0,1987,6,11,399,Predator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,[26725],4791179
Damien O'Donnell,65865.0,10557,3800000,5.138367,28200000,97.0,East Is East,6.5,60.0,1999,5,14,159616,East is East Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Brian Levant,13581.0,889,83000000,6.053595,59468275,90.0,The Flintstones in Viva Rock Vegas,4.4,140.0,2000,4,28,351684,The Flintstones (Live-Action) Collection,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,"[888, 9279, 28597, 11806]",162845586
Lars von Trier,42.0,452,2500000,9.174221,7200,117.0,The Idiots,6.7,107.0,1998,4,28,498,Heart of Gold Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"[145, 9065, 22137]",3803298
John Woo,11401.0,955,125000000,18.97178,546388108,123.0,Mission: Impossible II,5.9,1966.0,2000,5,24,87359,Mission: Impossible Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[9208, 2019, 754, 11782, 47423, 11909, 39083, 39084]",118609830
Tom Dey,46076.0,8584,55000000,10.308442,99300000,110.0,Shanghai Noon,6.2,756.0,2000,5,26,59567,Shanghai Noon Collection,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,[],0
Peter R. Hunt,9868.0,668,6000000,9.356264,64574493,142.0,On Her Majesty's Secret Service,6.5,464.0,1969,12,12,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,[],0
Lewis Gilbert,10076.0,691,13000000,9.781451,185438673,125.0,The Spy Who Loved Me,6.6,515.0,1977,7,7,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[72882, 106326]",5381511
Lewis Gilbert,10076.0,698,34000000,10.576273,210308099,126.0,Moonraker,5.9,551.0,1979,6,26,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"[691, 72882, 106326]",185438673
Guy Hamilton,9915.0,682,7000000,12.127492,97572000,125.0,The Man with the Golden Gun,6.4,533.0,1974,12,1,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[253, 681, 34388, 11463]",121198692
Raja Gosnell,1215.0,9600,30000000,7.978985,174000000,98.0,Big Momma's House,5.6,514.0,2000,5,31,44979,Big Momma's House Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[9714, 11355]",81823872
J. Lee Thompson,18669.0,10911,6000000,8.522673,28900000,158.0,The Guns of Navarone,7.3,191.0,1961,4,27,366826,Navarone Collection,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"[16284, 58902, 252721, 119687, 43112, 20806, 247451, 261419, 61002, 99592]",6787111
Sergio Leone,4385.0,938,600000,13.295342,15000000,132.0,For a Few Dollars More,7.8,988.0,1965,12,18,48317,The Man With No Name Collection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[391, 43020]",7425000
Bob Clark,12698.0,10246,4000000,12.650546,125700000,94.0,Porky's,6.1,185.0,1981,11,13,109592,Porky's Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[16938, 34374, 20842, 38996, 130917, 71320]",4053000
Bob Clark,12698.0,19698,6500000,5.269838,33800000,98.0,Porky's II: The Next Day,5.2,61.0,1983,6,24,109592,Porky's Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[10246, 16938, 34374, 38996, 130917, 71320]",64890629
James Komack,16008.0,23919,9000000,3.208108,20500000,92.0,Porky's 3: Revenge,5.0,48.0,1985,3,22,109592,Porky's Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Lloyd Kaufman,78021.0,15239,500000,8.061088,800000,82.0,The Toxic Avenger,6.3,116.0,1984,5,1,32135,The Toxic Avenger Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"[61644, 93215, 93212]",4157541
Michael Herz,78023.0,28165,2500000,2.553835,792966,96.0,The Toxic Avenger Part II,5.3,39.0,1989,2,24,32135,The Toxic Avenger Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,[],0
Michael Herz,78023.0,28169,500000,1.883822,363561,102.0,The Toxic Avenger Part III: The Last Temptation of Toxie,5.0,28.0,1989,11,24,32135,The Toxic Avenger Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,[28165],8979666
Stephen Hopkins,2042.0,169,35000000,11.736241,57120318,108.0,Predator 2,6.0,743.0,1990,11,20,399,Predator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[10160],22168359
George Miller,20629.0,9659,350000,11.412619,100000000,93.0,Mad Max,6.6,1235.0,1979,4,12,8945,Mad Max Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,[],0
George Miller,20629.0,8810,2000000,11.189831,24600832,95.0,Mad Max 2: The Road Warrior,7.3,981.0,1981,12,24,8945,Mad Max Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,[9659],100000000
George Miller,20629.0,9355,10000000,12.689648,36230219,107.0,Mad Max Beyond Thunderdome,5.9,765.0,1985,6,29,8945,Mad Max Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"[9659, 8810]",62300416
Gordon Parks,6558.0,482,1125000,3.73688,12121618,100.0,Shaft,6.5,68.0,1971,7,2,495,Shaft Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,[91737],5253804
John Singleton,6482.0,479,46000000,7.420019,107626125,99.0,Shaft,5.5,316.0,2000,6,15,495,Shaft Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[16295, 8291, 25624, 650]",34110232
Joseph Zito,64195.0,15379,2550000,6.241185,22812411,101.0,Missing in Action,5.2,107.0,1984,11,16,46512,Missing in Action Collection,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[9730, 44247]",32980880
Lance Hool,57154.0,12764,2410000,9.110348,10755447,100.0,Missing in Action 2: The Beginning,5.0,65.0,1985,3,1,46512,Missing in Action Collection,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,[],0
Aaron Norris,51572.0,27352,9000000,7.362552,6193901,101.0,Braddock: Missing in Action III,4.8,55.0,1988,1,22,46512,Missing in Action Collection,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
John Guillermin,6778.0,494,2142000,1.424722,1458000,112.0,Shaft in Africa,5.4,6.0,1973,6,14,495,Shaft Collection,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"[15873, 19728, 64158, 94201, 87514, 4930, 83957]",5525000
Gordon Parks,6558.0,493,1978000,0.760855,10000000,104.0,Shaft's Big Score!,6.1,7.0,1972,6,8,495,Shaft Collection,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"[482, 91737]",12121618
Keenen Ivory Wayans,35689.0,4247,19000000,12.446738,278019771,88.0,Scary Movie,6.0,1468.0,2000,7,7,4246,Scary Movie Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[26352],29392418
Bryan Singer,9032.0,36657,75000000,0.954467,296339527,104.0,X-Men,6.8,4172.0,2000,7,13,748,X-Men Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"[629, 9445, 77064]",16102380
Michael Haigney,65428.0,12599,30000000,7.554848,163700000,84.0,Pokémon: The Movie 2000,6.4,201.0,1999,7,17,34055,Pokémon Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,[10228],163644662
Peter Segal,13426.0,12107,84000000,6.671316,123307945,106.0,Nutty Professor II: The Klumps,4.7,338.0,2000,7,27,86028,The Nutty Professor Collection,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"[11381, 36593, 17795]",41890636
Don Coscarelli,58245.0,15158,3000000,8.733192,7282851,97.0,Phantasm II,6.3,97.0,1988,7,8,47770,Phantasm Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"[9638, 16441]",13022498
Takao Okawara,50651.0,10643,8300000,2.80298,25000000,107.0,Godzilla 2000,5.9,44.0,1999,12,11,374512,Godzilla (Millennium) Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"[6593, 39465, 12561]",18666667
David Zucker,12987.0,37136,12000000,15.698222,152356177,85.0,The Naked Gun: From the Files of Police Squad!,7.1,1020.0,1988,12,2,37139,Naked Gun Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
David Zucker,12987.0,37137,23000000,9.794569,192030411,85.0,The Naked Gun 2½: The Smell of Fear,6.6,556.0,1991,6,28,37139,Naked Gun Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[37136],78756177
Douglas Aarniokoski,71901.0,12211,25000000,11.430964,15800000,87.0,Highlander: Endgame,4.4,107.0,2000,9,1,8050,Highlander Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0
John Ottman,9039.0,12212,14000000,12.243528,38574362,97.0,Urban Legends: Final Cut,4.4,102.0,2000,9,19,52760,Urban Legend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[],0
Lars von Trier,42.0,16,12500000,10.684806,40061153,140.0,Dancer in the Dark,7.7,392.0,2000,5,17,498,Heart of Gold Collection,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[145, 452, 9065, 22137, 22140]",1905266
Clive Barker,31211.0,9003,1000000,10.81305,14575193,94.0,Hellraiser,6.9,464.0,1987,9,11,8917,Hellraiser Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[],0
Tony Randel,52194.0,9064,3000000,8.541732,12090735,97.0,Hellbound: Hellraiser II,6.3,227.0,1988,12,23,8917,Hellraiser Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[],0
Anthony Hickox,48965.0,11569,5000000,6.546551,12534961,93.0,Hellraiser III: Hell on Earth,5.3,160.0,1992,9,11,8917,Hellraiser Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[29095, 16159]",808114
Amy Holden Jones,21371.0,27475,220000,6.133484,3600000,77.0,The Slumber Party Massacre,5.7,61.0,1982,11,12,138971,The Slumber Party Massacre Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,[],0
Sally Mattison,98939.0,27767,350000,1.986075,1242995,87.0,Slumber Party Massacre III,5.4,20.0,1990,9,7,138971,The Slumber Party Massacre Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,[],0
Jay Roach,6737.0,1597,55000000,14.178281,330444045,108.0,Meet the Parents,6.6,1743.0,2000,10,6,51509,Meet the Parents Collection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"[816, 817, 15198]",129540100
Joe Berlinger,69237.0,11531,15000000,4.792013,47737094,90.0,Book of Shadows: Blair Witch 2,4.3,216.0,2000,10,27,64750,Blair Witch Collection,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"[17204, 17208]",10399002
McG,36425.0,4327,92000000,9.774985,264100000,98.0,Charlie's Angels,5.6,1253.0,2000,11,2,86029,Charlie's Angels Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,[],0
Guy Hamilton,9915.0,681,7200000,12.00491,116019547,120.0,Diamonds Are Forever,6.3,562.0,1971,12,13,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[658, 34388, 11463, 111752]",124881062
Stig Bergqvist,80540.0,16340,30000000,5.568359,103291131,78.0,Rugrats in Paris: The Movie,6.0,101.0,2000,9,14,57129,Rugrats Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,[],0
