belongs_to_collection,budget,genres,id,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
"{'id': 413661, 'name': 'Charlie Chan (Sidney Toler) Collection'}",0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",38468,en,The Jade Mask,"The latest assignment for respected yet goofy detective Charlie Chan has come directly from the government and involves the disappearance of a scientist named Harper, who was working on an extremely important serum. When the scientist is killed, Chan must sort through a crazy cast of characters who are all very likely suspects, including the man's sister and his butler.",0.807733,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-01-26,0.0,66.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A MYSTERY MANSION...Where death lurks in every dark corner and a mad genius runs loose!,The Jade Mask,5.7,6.0
"{'id': 100992, 'name': 'The Flicka Collection'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",52827,en,Thunderhead - Son of Flicka,"A young boy tries to train Thunderhead, a beautiful white colt and the son of his beloved Flicka, to be a champion race horse.",0.37161,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-03-15,0.0,78.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A young boy tries to train Thunderhead, a beautiful white colt and the son of his beloved Flicka, to be a champion race horse.",Thunderhead - Son of Flicka,0.0,1.0
"{'id': 478628, 'name': 'Sherlock Holmes (1939 series)'}",0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",33419,en,The House of Fear,"The Good Comrades are a collection of varied gentlemen who crave one thing - solitude. They reside at Drearcliff House, ancestral home of their eldest member. All seems serene and convivial until one by one the members begin to perish in the most grisly of manners. Foul play is suspected by the Good Comrades' insurance agent, who turns to Sherlock Holmes and Dr. John Watson for guidance.",3.148801,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-03-16,0.0,69.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,HORROR stalking its halls!,The House of Fear,6.8,17.0
"{'id': 426985, 'name': 'Ivan The Terrible Collection'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",9797,ru,Иван Грозный,"Sergei Eisenstein's final film, this is the first part of a three-part biopic of Czar Ivan Grozny, which was never completed due again to producer dissatisfaction with Eisenstein's attempts to use forbidden experimental filming techniques and excessive cost overruns.  The second part was completed but not released for a decade after Eisenstein's death and a change of heart in the USSR government toward his work; the third part was only in its earliest stage of filming when shooting was stopped altogether.  In this first part, set during the early part of his reign, Ivan faces betrayal from the aristocracy and even his closest friends as he seeks to unite the Russian people.",2.121177,"[{'name': 'Mosfilm', 'id': 5120}, {'name': 'TsOKS', 'id': 26497}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1945-04-23,0.0,103.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,"Ivan the Terrible, Part I",7.0,30.0
"{'id': 65249, 'name': 'Tarzan (Johnny Weissmuller series)'}",0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",55872,en,Tarzan and the Amazons,"A group of archaeologists asks Tarzan to help them find an ancient city in a hidden valley of women. He refuses, but Boy is tricked into doing the job. The queen of the women asks Tarzan to help them.",2.164087,"[{'name': 'Sol Lesser Productions', 'id': 4213}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-04-29,0.0,76.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Hidden City Of Women . . . Forbidden To Men!,Tarzan and the Amazons,5.0,9.0
"{'id': 457550, 'name': 'Sugata Sanshirō Collection'}",0.0,"[{'id': 36, 'name': 'History'}, {'id': 28, 'name': 'Action'}]",45965,ja,Zoku Sugata Sanshiro,"In this government-suggested sequel, Sugata again grows as a judo master, and demonstrates his (and by extension, all Japanese) superiority to the foreign warrior.",0.879112,"[{'name': 'Toho Company', 'id': 882}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1945-05-03,0.0,83.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Sanshiro Sugata Part Two,5.5,10.0
"{'id': 413661, 'name': 'Charlie Chan (Sidney Toler) Collection'}",0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",38467,en,The Scarlet Clue,Chinese sleuth Charlie Chan (Sidney Toler) discovers a scheme for the theft of government radar plans while investigating several murders.,0.477824,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-05-11,0.0,65.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,The Scarlet Clue,5.9,8.0
"{'id': 90031, 'name': 'Inner Sanctum mysteries'}",0.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]",64078,en,The Frozen Ghost,"When a man dies of a heart attack, a stage and radio mentalist believes he has willed him to die because he was angry with the man.  Riddled with guilt, the mentalist cancels further shows,  breaks off his engagement to his female partner, who can read minds while in a hypnotic trance, and takes refuge in the eerie wax-museum-cum-home of another woman friend.",0.583353,"[{'name': 'Universal Pictures Co. Inc.', 'id': 87008}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-06-01,0.0,61.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Frozen Ghost,6.7,8.0
"{'id': 158365, 'name': 'Why We Fight'}",0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10752, 'name': 'War'}]",162865,en,Why We Fight: War Comes to America,"Part VII of the ""Why We Fight"" series of wartime documentaries. This entry attempts to describe the factors leading up to America's entry into the Second World War.",0.069688,[],[],1945-06-14,0.0,70.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Why We Fight: War Comes to America,5.0,1.0
"{'id': 478628, 'name': 'Sherlock Holmes (1939 series)'}",0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",34327,en,The Woman in Green,"A series of bizarre, seemingly unconnected murders leads Holmes and Watson to a society of hypnotists and a mysterious, glamorous woman. The case takes a mesmerizing turn when the fiendish Dr. Moriarty appears to be involved. Reason? He was seen most recently swinging from the hangman's noose.",1.483385,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-07-27,0.0,68.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Temptress of Pleasure - or Mistress of Murder?,The Woman in Green,6.2,21.0
"{'id': 256729, 'name': 'War Trilogy'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",307,it,Roma città aperta,"Open City is a landmark in film history. Filmed in secrecy during the Nazi occupation of Italy, the film shows a realistic portrayal of the underground resistance in Italy in 1945. The film has strong impacting imagery with it’s mix of fiction and reality that strengthened Italian Neo-realism and the film industry.",6.130177,"[{'name': 'Minerva Film SpA', 'id': 153}, {'name': 'Excelsa Films', 'id': 193}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1945-09-27,0.0,100.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Powerful Portrayal of Dignity and Courage,"Rome, Open City",7.9,123.0
"{'id': 413661, 'name': 'Charlie Chan (Sidney Toler) Collection'}",0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",38465,en,The Shanghai Cobra,Someone is attempting to steal radium stored in a bank. Death by cobra venom connects a number of murders. Charlie Chan investigates.,0.710153,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-09-29,0.0,64.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Charlie Chan at his best in his most thrilling adventure!,The Shanghai Cobra,4.4,6.0
"{'id': 478628, 'name': 'Sherlock Holmes (1939 series)'}",0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",50401,en,Pursuit to Algiers,"Holmes and Watson on a transatlantic ocean liner escorting Nikolas, heir to a foreign throne. Also on board are a number of assassins, plotting against their sovereign.",1.174046,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-10-26,0.0,65.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Pursuit to Algiers,6.6,15.0
"{'id': 33381, 'name': 'The Whistler collection'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",29490,en,Voice of the Whistler,"A dying millionaire marries his nurse for companionship, only to experience a miracle cure.",0.113959,"[{'name': 'Larry Darmour Productions', 'id': 4977}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-10-30,0.0,60.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Voice of the Whistler,6.3,2.0
"{'id': 221539, 'name': 'Dracula (Universal Series)'}",0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",30793,en,House of Dracula,"A scientist working on cures for rare afflictions, such as a bone softening agent made from molds to allow him to correct the spinal deformity of his nurse, finds the physical causes of lycanthropy in wolf-man Larry Talbot and of vampirism in Count Dracula, but himself becomes afflicted with homicidal madness while exchanging blood with Dracula.",9.074831,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-12-06,0.0,67.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,HORROR UPON HORROR in the HOUSE OF DRACULA,House of Dracula,5.8,20.0
"{'id': 90031, 'name': 'Inner Sanctum mysteries'}",0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",64077,en,Pillow of Death,"Attorney Wayne Fletcher and his secretary are having an affair, so when Wayne's wife is found smothered to death, he becomes the prime suspect. As the police investigate the murder, a psychic with questionable motives tries to contact the deceased woman. Soon, Wayne begins seeing visions of his dead wife, and other people involved with the case begin to be killed, one by one.",0.213339,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-12-14,0.0,66.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,HATE! Crawling back from the grave!,Pillow of Death,6.5,6.0
"{'id': 65249, 'name': 'Tarzan (Johnny Weissmuller series)'}",0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",55873,en,Tarzan and the Leopard Woman,An African tribe devoted to the leopard cult is dedicated to preventing civilization from moving further into Africa. Tarzan fights them when the cult first attacks a caravan and next attacks Jane and Boy. Tarzan is captured. Boy is bothered by the Leopard Priestess' younger brother. Cheetah saves the day.,2.360545,[],[],1946-01-01,0.0,72.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,An Exotic Beauty Rules The Jungle !,Tarzan and the Leopard Woman,5.7,6.0
"{'id': 478628, 'name': 'Sherlock Holmes (1939 series)'}",0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",20408,en,Terror by Night,"Holmes is hired by Roland Carstairs to prevent the theft of the Star of Rhodesia, an enormous diamond owned by Carstairs' mother, Lady Margaret. Believing the diamond will be stolen on a train trip from London to Edinburgh, Holmes deftly switches diamonds with Lady Margaret while in her compartment. Soon after, Roland is murdered and the fake diamond is stolen.",4.660762,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-02-01,0.0,60.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One Way Ticket to DEATH..!,Terror by Night,6.6,27.0
"{'id': 135441, 'name': 'Road to Collection'}",0.0,"[{'id': 35, 'name': 'Comedy'}]",29021,en,Road to Utopia,"Duke &amp; Chester on a ship to Skagway, Alaska, find a map to a secret gold mine, which had been stolen by thugs, McGurk &amp; Sperry. Meanwhile, Sal Van Hoyden is in Alaska to try and recover her fathers map. She falls in with Ace Larson, who wants to steal the gold mine for himself. Duke &amp; Chester, McGurk &amp; Sperry, Ace, his henchmen &amp; Sal, chase each other all over the countryside, all after the map.",1.456451,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-02-27,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Road to Utopia,6.5,11.0
"{'id': 33381, 'name': 'The Whistler collection'}",0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]",29829,en,Mysterious Intruder,A detective discovers the woman hess been hired to track down is the key to an unusual inheritance.,0.558991,"[{'name': 'Larry Darmour Productions', 'id': 4977}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-04-11,0.0,61.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Radio's master of mystery... in his most thrilling case!,Mysterious Intruder,4.8,5.0
"{'id': 259027, 'name': 'The Wolf Man (Universal Series)'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",45322,en,She-Wolf of London,A young heiress finds evidence suggesting that at night she acts under the influence of a family curse and has begun committing ghastly murders in a nearby park.,4.575792,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-05-17,0.0,61.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A woman whose hatred knew no bounds!,She-Wolf of London,6.2,11.0
"{'id': 413661, 'name': 'Charlie Chan (Sidney Toler) Collection'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",38471,en,Dark Alibi,"After three men are convicted of bank robberies, Charlie becomes suspicious.  After some investigation Charlie finds the men are innocent and that the fingerprint evidence used to convict them had been forged.  Charlie then proceeds to find the true bank robbers.",0.600083,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-05-25,0.0,61.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Dark Alibi,6.1,4.0
"{'id': 478628, 'name': 'Sherlock Holmes (1939 series)'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",20417,en,Dressed to Kill,"A convicted thief in Dartmoor prison hides the location of the stolen Bank of England printing plates inside three music boxes. When the innocent purchasers of the boxes start to be murdered, Holmes and Watson investigate.",5.995438,"[{'name': 'Universal Studios', 'id': 13}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-06-07,0.0,72.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Queen . . . of a Crime Cult !,Dressed to Kill,6.8,21.0
"{'id': 413661, 'name': 'Charlie Chan (Sidney Toler) Collection'}",0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",38469,en,Shadows Over Chinatown,"In San Francisco's Chinatown, Charlie helps two different people search for their missing relatives and uncovers a murder for insurance scheme.",0.211814,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-06-27,0.0,64.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Chan follows the trail of a blood-chilling wave of torso slayings!,Shadows Over Chinatown,6.3,4.0
"{'id': 413661, 'name': 'Charlie Chan (Sidney Toler) Collection'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",38470,en,Dangerous Money,"A treasury agent on the trail of counterfeit money confides to fellow ocean liner passenger, Charlie Chan, that there have been two attempts on his life.",0.578904,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-10-12,0.0,66.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One of Chan's Most Terrifying Cases!,Dangerous Money,6.3,7.0
"{'id': 177062, 'name': 'Blondie Collection'}",0.0,"[{'id': 35, 'name': 'Comedy'}]",3966,en,Blondie Knows Best,"Dagwood Bumstead (Arthur Lake) poses as his boss Mr. Dithers (Jonathan Hale) so that a big business deal can be consummated while Dithers avoids nearsighted process server Jim Gray (Shemp Howard). The upshot of all this is that Dagwood ends up in a lunatic asylum, forcing Blondie (Penny Singleton) to come to the rescue. Number 18 in the long running Blondie series.  Blondie Knows Best was writer/director Edward Bernds' first entry in the long-running ""Blondie"" series, and arguably his funniest.  Bernds was a big fan of comedian Shemp Howard (whom he'd directed in several Columbia 2-reelers) and accordingly he gives Shemp free reign in his scenes, resulting in some hystericially funny moments.  Blondie Knows Best represented Jonathan Hale's farewell to the series; in the next entry, Blondie's Big Moment, he would be replaced by Jerome Cowan as Mr. Radcliffe",0.001908,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-10-17,0.0,69.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Dagwood Thinks He Has All The Answers... But Blondie Knows Best!,Blondie Knows Best,0.0,0.0
"{'id': 280539, 'name': 'Lassie (Kinofilme)'}",0.0,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",61856,en,Courage of Lassie,"Bill's separated from his litter, making friends with the wild creatures until he's found and adopted by young Kathie. An accident separates him from her, and he's drafted into K-9 duty in the trenches until battle fatigue takes its toll and he turns vicious. And even though he finds his way back home, he may be condemned as a killer.",0.703422,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-11-08,0.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,As Refreshing As A Breath Of Spring !,Courage of Lassie,5.0,5.0
"{'id': 413661, 'name': 'Charlie Chan (Sidney Toler) Collection'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",38472,en,The Trap,"When a troupe of showgirls with their impresario and press agent vacation at a Malibu Beach resort, two of them are garroted. Charlie takes on the case assisted by Number Two Son Jimmy and faithful chauffeur Birmingham Brown.",0.603541,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-11-30,0.0,62.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's The HEIGHT of FRIGHT!,The Trap,6.9,6.0
"{'id': 256729, 'name': 'War Trilogy'}",0.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",8429,it,Paisà,"Six vignettes follow the Allied invasion from July 1943 to winter 1944, from Sicily north to Venice.",3.080515,"[{'name': 'Foreign Film Productions', 'id': 2421}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1946-12-10,0.0,125.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Paisan,7.6,44.0
"{'id': 224011, 'name': 'Dick Tracy 1940s Collection'}",0.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",68143,en,Dick Tracy vs. Cueball,A police detective uses his girlfriend to track down a homicidal maniac.,0.477524,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-12-18,0.0,62.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,HE'S TERRIFIC! Your Favorite Crime Crusader!,Dick Tracy vs. Cueball,5.1,4.0
"{'id': 53043, 'name': 'The Magick Lantern Cycle'}",0.0,"[{'id': 18, 'name': 'Drama'}]",44296,en,Fireworks,"Fireworks revolves around a young man (played by Anger himself) associating with various navy sailors, who eventually turn on him, stripping him naked and beating him to death, ripping open his chest to find a clock ticking inside. Several fireworks then explode, accompanied by a burning Christmas tree and the final shot shows the young man lying in bed next to another topless man.",0.411937,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-01-01,0.0,14.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Fireworks,6.1,11.0
"{'id': 421566, 'name': 'Totò Collection'}",0.0,"[{'id': 35, 'name': 'Comedy'}]",64043,it,I due orfanelli,,0.199214,[],[],1947-01-01,0.0,0.0,[],Released,,I due orfanelli,3.5,4.0
"{'id': 321063, 'name': 'The Sinbad Collection'}",0.0,"[{'id': 12, 'name': 'Adventure'}]",43464,en,Sinbad il marinaio,"The tale of the ""eighth"" voyage of Sinbad, wherein he discovers the lost treasure of Alexander the Great.",1.846912,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-01-13,0.0,116.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,BRAVE in Adventure! BOLD in Love!,Sinbad il marinaio,5.4,6.0
"{'id': 46082, 'name': 'Ma and Pa Kettle Collection'}",0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",42342,en,The Egg and I,"It tells the story of young married couple who become chicken farmers. Betty has been raised to follow her husband's dreams with him, and Bob's dream is to be a successful chicken farmer. The problem is their home is old and needs to be repaired and the baby chicks need constant care. When a rich single woman with a new house and new farm equipment flirts with Bob, Betty questions their decision to move to the farm in the first place.",0.628683,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-05-01,0.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Egg and I,7.1,8.0
"{'id': 47814, 'name': 'The Thin Man Collection'}",0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",14595,en,Song of the Thin Man,Nick and Nora investigate a murder on a gambling cruise.,1.148166,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-08-28,0.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,WILLIAM POWELL and MYRNA LOY and me too. We're all together again in a NEW MGM mystery comedy!,Song of the Thin Man,6.6,16.0
"{'id': 224011, 'name': 'Dick Tracy 1940s Collection'}",0.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",70702,en,Dick Tracy Meets Gruesome,"A gang of criminals, which includes a piano player and an imposing former convict known as 'Gruesome', has found out about a scientist's secret formula for a gas that temporarily paralyzes anyone who breathes it. When Gruesome accidentally inhales some of the gas and passes out, the police think he is dead and take him to the morgue, where he later revives and escapes. This puzzling incident attracts the interest of Dick Tracy, and when the criminals later use the gas to rob a bank, Tracy realizes that he must devote his entire attention to stopping them.",0.317036,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-09-26,0.0,65.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,KARLOFF PETRIFIES THEM!,Dick Tracy Meets Gruesome,5.9,4.0
"{'id': 415931, 'name': 'The Bowery Boys'}",0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]",89645,en,Bowery Buckaroos,"The Bowery Boys head west to clear Louie of an old murder charge that he had killed his gold-mine partner. Sach has the map to the gold mine painted on his back, and Blackjack McCoy has him kidnapped by Indian Joe. Gabe poses as a dangerous gunman, the Klondike Kid, while Slip is in charge of all the remaining loose ends.",0.00118,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-11-22,0.0,66.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Bowery Buckaroos,0.0,0.0
"{'id': 135441, 'name': 'Road to Collection'}",0.0,"[{'id': 35, 'name': 'Comedy'}]",31980,en,Road to Rio,"Scat Sweeney, and Hot Lips Barton, two out of work musicians, stow away on board a Rio bound ship, after accidentally setting fire to the big top of a circus. They then get mixed up with a potential suicide Lucia, who first thanks them, then unexpectedly turns them over to the ship's captain. When they find out that she has been hypnotized, to go through a marriage of convenience, when the ship reaches Rio, the boys turn up at the ceremony, in order to stop the wedding, and to help catch the crooks.",1.642712,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Bing Crosby Productions', 'id': 5409}, {'name': 'Hope Enterprises', 'id': 14069}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-12-25,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Road to Rio,6.5,12.0
"{'id': 415931, 'name': 'The Bowery Boys'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",89145,en,Angels' Alley,"Slip invites his cousin Jimmy to stay with his family after he is released from prison. However, Jimmy soon gets mixed up with an auto-theft ring.",0.1446,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1948-03-07,0.0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,TWO-FISTED DRAMA!,Angels' Alley,3.0,1.0
"{'id': 413663, 'name': 'Charlie Chan (Roland Winters) Collection'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",55603,en,The Golden Eye,"A gold mine in Arizona, that was formerly losing a lot of money, suddenly turns into a veritable money-making machine. However, the owner, instead of being happy about his now profitable business, insists to Charlie that something is fishy and that someone is out to murder him. Charlie and his ""crew"" travel to the mine, pretending to be tourists staying at a nearby dude ranch so as not to arouse suspicion, and discover that the owner may well be right--it looks like the mine is being used as a cover for criminal activities, and that someone is indeed out to murder him.",0.255532,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1948-08-29,0.0,69.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Death lurks at every step...as your oriental super-sleuth stalks a desperate killer -- below the surface of the earth!,The Golden Eye,5.8,6.0
