director_name,director_id,id,budget,popularity,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name,War,Thriller,Music,Fantasy,TV Movie,Crime,Action,Documentary,Western,History,Family,Mystery,Romance,Animation,Drama,Comedy,Foreign,Adventure,Science Fiction,Horror,director_score,actor1_id,actor1_name,actor2_id,actor2_name,actor3_id,actor3_name,actor1_score,actor2_score,actor3_score,actor_score,company_name,company_id
Hendel Butoy,74297.0,11135,38000000,1.562471,47400000,77.0,The Rescuers Down Under,6.6,303.0,1990,11,16,57971,The Rescuers Collection,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,64930.0,Bob Newhart,44714.0,Eva Gabor,7180.0,John Candy,0.0,0.0,32282305.777777776,32282306,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners IV']","[2, 10217, 10282]"
John Lounsbery,69003.0,11319,7500000,11.32442,169000000,78.0,The Rescuers,6.7,609.0,1977,6,22,57971,The Rescuers Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4890831,64930.0,Bob Newhart,44714.0,Eva Gabor,41283.0,Geraldine Page,0.0,0.0,0.0,5725806,['Walt Disney Productions'],[3166]
Steven Lisberger,12859.0,97,17000000,16.574021,33000000,96.0,Tron,6.6,717.0,1982,7,9,63043,TRON Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4052366,1229.0,Jeff Bridges,2547.0,Bruce Boxleitner,2076.0,David Warner,3484331.0,215498.0,29032790.5,10910873,"['Walt Disney Pictures', 'Lisberger/Kushner']","[2, 558]"
Steve Miner,58712.0,11675,17000000,8.619068,75041738,86.0,Halloween: H20,5.7,306.0,1998,8,5,91361,Halloween Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46364389,8944.0,Jamie Lee Curtis,2299.0,Josh Hartnett,55257.0,Adam Arkin,104133761.5,0.0,278720.0,52206241,['Dimension Films'],[7405]
Steven Spielberg,488.0,87,28000000,15.802306,333000000,118.0,Indiana Jones and the Temple of Doom,7.1,2841.0,1984,5,23,84,Indiana Jones Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,347464084,3.0,Harrison Ford,689.0,Kate Capshaw,690.0,Jonathan Ke Quan,245301320.85714287,0.0,0.0,245301321,"['Lucasfilm', 'Paramount Pictures']","[1, 4]"
Fritz Kiersch,66987.0,10823,800000,11.84696,14568989,93.0,Children of the Corn,5.6,243.0,1984,3,9,115225,Children of the Corn Collection,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,44990.0,Peter Horton,2713.0,Linda Hamilton,1107.0,R. G. Armstrong,263635.0,0.0,16754309.0,8508972,"['Hal Roach Studios', 'Cinema Group', 'Planet Productions', 'Angeles Entertainment Group', 'Inverness Productions', 'Gatlin']","[2159, 5093, 6562, 12591, 12592, 52197]"
Barry Sonnenfeld,5174.0,2907,30000000,12.962525,191502426,99.0,The Addams Family,6.7,871.0,1991,11,22,11716,Addams Family Collection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27888.0,Raúl Juliá,5657.0,Anjelica Huston,1062.0,Christopher Lloyd,63927000.833333336,8980144.0,120933316.625,64613487,"['Paramount Pictures', 'Orion Pictures', 'Scott Rudin Productions']","[4, 41, 258]"
Steve Miner,58712.0,11415,3000000,13.208902,19444631,93.0,House,5.8,144.0,1986,2,28,102782,House Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,29206422,45415.0,William Katt,66606.0,George Wendt,13591.0,Richard Moll,0.0,27318373.75,39103425.0,33210899,['New World Pictures'],[1950]
Ethan Wiley,69331.0,37530,3000000,13.416334,10000000,88.0,House II: The Second Story,5.0,66.0,1987,5,14,102782,House Collection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,72028.0,Arye Gross,119941.0,Jonathan Stark,19968.0,Royal Dano,23264450.0,21727261.5,14950000.0,19980570,"['New World Pictures', 'Sean S. Cunningham Films']","[1950, 17611]"
Jamie Uys,55668.0,8393,5000000,10.973482,200000000,109.0,The Gods Must Be Crazy,7.1,251.0,1980,9,10,87805,The Gods Must Be Crazy Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7560986,55674.0,N!xau,55675.0,Michael Thys,16758.0,Marius Weyers,0.0,0.0,0.0,0,"['CAT Films', 'Mimosa Films']","[22284, 22285]"
Jamie Uys,55668.0,11937,7500000,4.993561,9600000,98.0,The Gods Must Be Crazy II,6.5,91.0,1989,7,1,87805,The Gods Must Be Crazy Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,60000000,70965.0,Lena Farugia,70966.0,Hans Strydom,,,0.0,0.0,0.0,0,"['Weintraub Entertainment Group', 'Elrina Investment']","[6313, 23267]"
Richard Martin,87767.0,21661,11000000,3.576604,10224116,90.0,Air Bud: Golden Receiver,4.6,41.0,1998,8,14,97445,Air Bud Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2440151,7431.0,Kevin Zegers,83414.0,Tim Conway,87769.0,Dick Martin,23144499.0,0.0,0.0,23144499,['Dimension Films'],[7405]
Wolfgang Petersen,5231.0,34584,27000000,14.225919,20158808,102.0,The NeverEnding Story,7.0,1031.0,1984,4,5,91430,The Neverending Story Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,85000000,29508.0,Barret Oliver,29512.0,Gerald McRaney,29509.0,Noah Hathaway,0.0,0.0,11000000.0,11000000,"['Producers Sales Organization', 'Bavaria Film', 'Dieter Geissler Filmproduktion', 'Warner Bros.', 'Westdeutscher Rundfunk (WDR)', 'Bavaria Studios']","[1256, 1704, 1766, 6194, 7025, 33772]"
George T. Miller,1174031.0,34636,32000000,6.658994,16283667,89.0,The Neverending Story II: The Next Chapter,5.5,193.0,1990,10,24,91430,The Neverending Story Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,10981808,27773.0,Jonathan Brandis,112731.0,Kenny Morrison,149409.0,Clarissa Burt,37835571.0,0.0,0.0,37835571,"['Bavaria Film', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH', 'Warner Bros.']","[1704, 1766, 1979, 6194]"
Stephen Norrington,10808.0,36647,45000000,15.043454,131183530,120.0,Blade,6.5,1950.0,1998,8,21,735,Blade Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1422749,10814.0,Wesley Snipes,10822.0,Stephen Dorff,10823.0,Kris Kristofferson,46090869.6,3645684.0,14749205.5,21495253,"['New Line Cinema', 'Amen Ra Films', 'Imaginary Forces', 'Marvel Enterprises']","[12, 421, 11321, 19551]"
Brett Ratner,11091.0,2109,33000000,11.840557,244721064,98.0,Rush Hour,6.8,1254.0,1998,9,18,90863,Rush Hour Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32175386,18897.0,Jackie Chan,66.0,Chris Tucker,2131.0,Ken Leung,64836512.5,88989109.75,5034794.0,52953472,['New Line Cinema'],[12]
Jamie Blanks,59958.0,9877,14000000,6.081401,72527595,99.0,Urban Legend,5.6,293.0,1998,9,25,52760,Urban Legend,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3128.0,Alicia Witt,7499.0,Jared Leto,59967.0,Rebecca Gayheart,36937479.0,16090506.333333334,108421670.0,53816552,"['Original Film', 'TriStar Pictures', 'Phoenix Pictures', 'Canal+ Droits Audiovisuels']","[333, 559, 11317, 53473]"
John Carpenter,11770.0,1091,15000000,16.83125,19629760,109.0,The Thing,7.8,1629.0,1982,6,25,479888,The Thing Collection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,47322510,6856.0,Kurt Russell,65827.0,Keith David,11065.0,Wilford Brimley,30586673.666666668,0.0,51412433.66666666,40999554,"['Universal Pictures', 'Turman-Foster Company']","[33, 662]"
Peter Hyams,37710.0,4437,28000000,7.482865,40400000,116.0,2010,6.6,290.0,1984,12,6,4438,The Space Odyssey Series,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11643300,6355.0,Roy Scheider,12074.0,John Lithgow,15735.0,Helen Mirren,40068515.0,49574319.66666666,34967437.0,41536757,['Metro-Goldwyn-Mayer (MGM)'],[8411]
Ronny Yu,17268.0,11932,25000000,13.018491,50671850,89.0,Bride of Chucky,5.5,366.0,1998,10,16,10455,Child's Play Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4620742,1471.0,Ed Gale,7906.0,Jennifer Tilly,1370.0,Brad Dourif,0.0,67980058.2,37810566.66666666,52895312,"['Universal Pictures', 'Midwinter Productions Inc.']","[33, 5550]"
Shekhar Kapur,37630.0,4518,30000000,7.566321,82150642,124.0,Elizabeth,7.2,346.0,1998,9,13,100286,Elizabeth Collection,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,399,112.0,Cate Blanchett,118.0,Geoffrey Rush,2040.0,Christopher Eccleston,1952252.0,24994325.5,769938.0,9238838,"['Channel Four Films', 'PolyGram Filmed Entertainment', 'Working Title Films']","[181, 1382, 10163]"
Danny Cannon,33279.0,3600,65000000,11.023042,40002112,100.0,I Still Know What You Did Last Summer,5.1,381.0,1998,11,13,3601,I Know What You Did Last Summer Collection,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,113493481,33259.0,Jennifer Love Hewitt,33260.0,Freddie Prinze Jr.,327.0,Mekhi Phifer,52127621.75,43449945.333333336,17186819.5,37588129,"['Columbia Pictures', 'Mandalay Entertainment', 'Summer Knowledge LLC']","[5, 1236, 1464]"
Norton Virgien,86439.0,14444,30000000,5.154373,100491683,79.0,The Rugrats Movie,5.8,149.0,1998,11,20,57129,Rugrats Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2395.0,Whoopi Goldberg,60950.0,David Spade,15274.0,E.G. Daily,82044979.07142857,17846447.0,0.0,49945713,"['Paramount Pictures', 'Nickelodeon Movies', 'Klasky-Csupo']","[4, 2348, 59150]"
Ishirô Honda,18598.0,1678,900000,13.153272,2250000,96.0,Godzilla,6.9,194.0,1954,11,3,374509,Godzilla (Showa) Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18615.0,Akira Takarada,33768.0,Momoko Kôchi,30568.0,Akihiko Hirata,0.0,0.0,0.0,7347500,['Toho Film (Eiga) Co. Ltd.'],[622]
Koji Hashimoto,1178751.0,39256,700000,2.894009,4116395,87.0,Godzilla 1985,6.7,34.0,1984,12,15,374511,Godzilla (Heisei) Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,72398.0,Ken Tanaka,19591.0,Yasuko Sawaguchi,70324.0,Keiju Kobayashi,0.0,0.0,0.0,0,['New World Pictures'],[1950]
Merian C. Cooper,3238.0,244,672000,8.73274,10000000,100.0,King Kong,7.7,346.0,1933,4,7,135495,King Kong (1933 series),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4704729,3243.0,Robert Armstrong,3242.0,Fay Wray,3244.0,Bruce Cabot,732000.0,0.0,0.0,732000,['RKO Radio Pictures'],[6]
John Guillermin,6778.0,10730,23000000,5.810716,90614445,134.0,King Kong,5.9,179.0,1976,9,8,135498,King Kong (1976 series),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,32127000,1229.0,Jeff Bridges,4431.0,Jessica Lange,28164.0,Charles Grodin,16317553.0,0.0,0.0,16317553,"['Paramount Pictures', 'Dino De Laurentiis Company']","[4, 10308]"
John Guillermin,6778.0,31947,10000000,2.663294,4711220,105.0,King Kong Lives,4.6,29.0,1986,11,21,135498,King Kong (1976 series),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10169218,1229.0,Jeff Bridges,2713.0,Linda Hamilton,50464.0,Brian Kerwin,22001000.0,33192584.666666668,30867525.0,28687037,['De Laurentiis Entertainment Group (DEG)'],[484]
Michael Ritchie,12964.0,9749,8000000,6.040486,59612888,98.0,Fletch,6.8,210.0,1985,5,31,104833,Fletch Collection,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,29024891,54812.0,Chevy Chase,10671.0,Joe Don Baker,58866.0,Dana Wheeler-Nicholson,34738703.6,25952213.5,0.0,30345459,['Universal Pictures'],[33]
Michael Ritchie,12964.0,14628,8000000,10.357224,35150960,95.0,Fletch Lives,5.8,98.0,1989,3,17,104833,Fletch Collection,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,51710276,54812.0,Chevy Chase,11066.0,Hal Holbrook,105962.0,Julianne Phillips,46760742.0,25092684.0,0.0,35926713,"['Universal Pictures', 'Vincent Pictures']","[33, 8818]"
Richard Fleischer,2087.0,9626,17900000,10.014248,6948633,89.0,Red Sonja,5.0,211.0,1985,4,9,43055,Conan the Barbarian Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18687585,1100.0,Arnold Schwarzenegger,921.0,Brigitte Nielsen,45378.0,Sandahl Bergman,62842440.0,0.0,43009063.333333336,52925752,"['Famous Films (II)', 'Metro-Goldwyn-Mayer (MGM)', 'Dino De Laurentiis Company']","[3418, 8411, 10308]"
John Glen,10179.0,707,30000000,12.840798,152427960,131.0,A View to a Kill,6.0,515.0,1985,5,24,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,187456401,10222.0,Roger Moore,4690.0,Christopher Walken,10660.0,Tanya Roberts,90360909.6,10910424.0,9917440.5,37062925,['Eon Productions'],[7576]
Hugh Wilson,28904.0,9336,4500000,8.354488,81198894,96.0,Police Academy,6.5,614.0,1984,3,22,9338,Police Academy Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26472.0,Steve Guttenberg,2109.0,Kim Cattrall,27237.0,G. W. Bailey,14100000.0,125728258.0,0.0,69914129,"['Warner Bros.', 'The Ladd Company']","[6194, 7965]"
Jerry Paris,41720.0,10157,7600000,9.021668,55600000,87.0,Police Academy 2: Their First Assignment,5.6,349.0,1985,3,28,9338,Police Academy Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26472.0,Steve Guttenberg,57349.0,Bubba Smith,57353.0,David Graf,47649447.0,81198894.0,81198894.0,70015745,"['Warner Bros.', 'The Ladd Company']","[6194, 7965]"
Jerry Paris,41720.0,12118,12000000,7.10005,107600000,83.0,Police Academy 3: Back in Training,5.5,259.0,1986,3,20,9338,Police Academy Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55600000,26472.0,Steve Guttenberg,57349.0,Bubba Smith,57353.0,David Graf,47779494.2,47812153.0,68399447.0,54663698,"['Warner Bros.', 'Police Academy Productions']","[6194, 69583]"
Jim Drake,65688.0,10587,17000000,5.952392,76800000,88.0,Police Academy 4: Citizens on Patrol,4.9,261.0,1987,4,2,9338,Police Academy Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26472.0,Steve Guttenberg,57349.0,Bubba Smith,14672.0,Michael Winslow,55105088.14285714,62759114.75,81466298.0,66443500,['Warner Bros.'],[6194]
Alan Myerson,14995.0,11825,14000000,10.278957,19510371,90.0,Police Academy 5: Assignment Miami Beach,4.7,195.0,1988,3,17,9338,Police Academy Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26279000,57349.0,Bubba Smith,57353.0,David Graf,14672.0,Michael Winslow,65567291.8,80299723.5,71863675.4,72576897,['Warner Bros.'],[6194]
Peter Bonerz,14987.0,11895,15000000,5.612379,33200000,84.0,Police Academy 6: City Under Siege,4.7,183.0,1989,3,9,9338,Police Academy Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57349.0,Bubba Smith,57353.0,David Graf,14672.0,Michael Winslow,57891138.333333336,68141853.0,63138124.66666666,63057039,['Warner Bros.'],[6194]
George Miller,20629.0,9447,90000000,6.229629,69100000,92.0,Babe: Pig in the City,5.3,312.0,1998,11,25,9435,Babe Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,7286388,2505.0,James Cromwell,45386.0,Mary Stein,1937.0,Mickey Rooney,165939717.2857143,209935.0,0.0,83074826,['Kennedy Miller Productions'],[2537]
Jonathan Frakes,2388.0,200,70000000,9.538877,112587658,103.0,Star Trek: Insurrection,6.3,402.0,1998,12,10,115570,Star Trek: The Next Generation Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,150000000,2387.0,Patrick Stewart,2388.0,Jonathan Frakes,1213786.0,Brent Spiner,71012804.66666667,135000000.0,309859318.25,171957374,['Paramount Pictures'],[4]
George P. Cosmatos,16566.0,1369,44000000,11.924462,300400432,96.0,Rambo: First Blood Part II,6.3,884.0,1985,5,21,5039,Rambo Collection,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15300000,16483.0,Sylvester Stallone,16554.0,Richard Crenna,16119.0,Charles Napier,92801400.4,50570482.333333336,115229890.0,86200591,"['TriStar Pictures', 'Carolco Pictures']","[559, 14723]"
Ted Kotcheff,16544.0,1368,15000000,14.778884,125212904,93.0,First Blood,7.2,1523.0,1982,10,22,5039,Rambo Collection,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,19839656,16483.0,Sylvester Stallone,16554.0,Richard Crenna,6197.0,Brian Dennehy,81945291.0,24058838.0,42062303.0,49355477,['Orion Pictures'],[41]
Peter MacDonald,16589.0,1370,63000000,11.624866,189015611,102.0,Rambo III,5.7,703.0,1988,5,24,5039,Rambo Collection,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16483.0,Sylvester Stallone,16554.0,Richard Crenna,,,137481854.6,162545068.0,0.0,150013461,"['TriStar Pictures', 'Carolco Pictures']","[559, 14723]"
Lewis Teague,21819.0,10303,25000000,10.571841,96800000,106.0,The Jewel of the Nile,6.0,289.0,1985,12,4,89264,Romancing the Stone Collection,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,17150000,3392.0,Michael Douglas,3391.0,Kathleen Turner,518.0,Danny DeVito,34375847.666666664,45762870.0,70665329.0,50268016,"['Twentieth Century Fox Film Corporation', 'SLM Production Group', 'Stone Group Pictures']","[306, 396, 3470]"
Robert Zemeckis,24.0,9326,10000000,6.827193,86572238,106.0,Romancing the Stone,6.6,477.0,1984,3,30,89264,Romancing the Stone Collection,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,11715321,3392.0,Michael Douglas,3391.0,Kathleen Turner,518.0,Danny DeVito,8277652.5,24058838.0,108423749.0,46920080,"['Twentieth Century Fox Film Corporation', 'SLM Production Group', 'Nina Saxon Film Design', 'El Corazon Producciones S.A.']","[306, 396, 1693, 81127]"
Ron Howard,6159.0,10328,17500000,5.773277,85300000,117.0,Cocoon,6.5,329.0,1985,6,21,86307,Cocoon Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,45458508,26472.0,Steve Guttenberg,194670.0,Tahnee Welch,6197.0,Brian Dennehy,50299631.333333336,0.0,35618877.75,42959255,"['Twentieth Century Fox Film Corporation', 'SLM Production Group', 'Zanuck/Brown Productions']","[306, 396, 1865]"
Daniel Petrie,40549.0,11285,17500000,12.167265,25000000,116.0,Cocoon: The Return,5.4,103.0,1988,9,13,86307,Cocoon Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6137179,18156.0,Don Ameche,11065.0,Wilford Brimley,14405.0,Courteney Cox,141354679.33333334,29589007.6,17336370.0,62760019,"['Twentieth Century Fox Film Corporation', 'Zanuck/Brown Productions']","[306, 1865]"
Sylvester Stallone,16483.0,1367,7000000,11.789813,85200000,119.0,Rocky II,6.9,948.0,1979,6,15,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7185518,16483.0,Sylvester Stallone,3094.0,Talia Shire,4521.0,Burt Young,40989320.0,163925201.0,75312600.5,93409040,['United Artists'],[60]
Sylvester Stallone,16483.0,1371,17000000,11.673366,270000000,99.0,Rocky III,6.6,894.0,1982,5,28,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46183839,16483.0,Sylvester Stallone,3094.0,Talia Shire,4521.0,Burt Young,34931613.75,69591080.0,65091080.0,56537925,['United Artists'],[60]
Sylvester Stallone,16483.0,1374,31000000,10.25721,300500000,91.0,Rocky IV,6.6,984.0,1985,11,21,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,106815087,16483.0,Sylvester Stallone,3094.0,Talia Shire,4521.0,Burt Young,127401239.0,270000000.0,59163495.8,152188245,['United Artists'],[60]
John G. Avildsen,16513.0,1375,42000000,14.007329,120000000,104.0,Rocky V,5.3,688.0,1990,10,18,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48695619,16483.0,Sylvester Stallone,3094.0,Talia Shire,4521.0,Burt Young,97368542.71428572,151244799.0,103300447.75,117304596,['United Artists'],[60]
John G. Avildsen,16513.0,1885,8000000,7.64499,130442786,126.0,The Karate Kid,6.9,913.0,1984,6,22,8580,The Karate Kid Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88020299,2877.0,Ralph Macchio,23915.0,Pat Morita,56124.0,William Zabka,33697647.0,3763988.0,0.0,18730818,"['Columbia Pictures Corporation', 'Jerry Weintraub Productions', 'Delphi Films']","[441, 2596, 4267]"
John G. Avildsen,16513.0,8856,13000000,9.231318,115103979,113.0,"The Karate Kid, Part II",5.9,457.0,1986,6,18,8580,The Karate Kid Collection,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,98625921,2877.0,Ralph Macchio,23915.0,Pat Morita,56117.0,Martin Kove,56626461.66666666,130442786.0,215421609.0,134163619,"['Columbia Pictures Corporation', 'Delphi V Productions']","[441, 1174]"
John G. Avildsen,16513.0,10495,12500000,6.441664,38956288,112.0,"The Karate Kid, Part III",5.5,311.0,1989,6,29,8580,The Karate Kid Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50318841,2877.0,Ralph Macchio,23915.0,Pat Morita,56117.0,Martin Kove,83761905.66666667,122773382.5,181982399.0,129505896,"['Columbia Pictures Corporation', 'Weintraub International Group']","[441, 57092]"
Jeremiah S. Chechik,34682.0,5825,27000000,9.802574,71300000,97.0,National Lampoon's Christmas Vacation,7.1,668.0,1989,12,1,108693,National Lampoon's Vacation Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54812.0,Chevy Chase,821.0,Beverly D'Angelo,1811.0,Randy Quaid,44825778.333333336,16915396.0,1834067.0,21191747,"['Hughes Entertainment', 'Warner Bros.']","[477, 6194]"
Tibor Takács,42309.0,6917,2500000,4.742709,13539458,85.0,The Gate,5.9,107.0,1987,4,21,340623,The Gate Collection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2714910,10822.0,Stephen Dorff,51424.0,Christa Denton,51425.0,Louis Tripp,0.0,1305114.0,0.0,1305114,"['Vista Organization', 'New Century Entertainment Corporation', 'Alliance Entertainment']","[4535, 10165, 10166]"
Tibor Takács,42309.0,40729,6500000,1.214091,2032973,93.0,The Gate II: Trespassers,5.3,16.0,1990,5,24,340623,The Gate Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6845330,51425.0,Louis Tripp,51038.0,Simon Reynolds,54888.0,James Villemaire,13539458.0,0.0,0.0,13539458,"['Epic Productions', 'Vision PDG', 'Alliance Entertainment']","[1988, 4109, 10166]"
David Cronenberg,224.0,9426,15000000,13.534589,60629159,96.0,The Fly,7.1,1038.0,1986,8,15,109609,The Fly Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10528233,4785.0,Jeff Goldblum,16935.0,Geena Davis,20211.0,John Getz,29198142.5,118406444.0,7297009.0,51633865,"['SLM Production Group', 'Brooksfilms']","[396, 5612]"
Chris Walas,64875.0,10344,16500000,9.207436,38900000,105.0,The Fly II,5.2,159.0,1989,2,10,109609,The Fly Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7036.0,Eric Stoltz,14668.0,Daphne Zuniga,21283.0,Lee Richardson,23484649.33333333,28127507.0,22705486.0,24772547,['Brooksfilms'],[5612]
Tobe Hooper,10051.0,30497,140000,15.526413,30900000,83.0,The Texas Chain Saw Massacre,7.1,617.0,1974,10,1,111751,Texas Chainsaw Massacre Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7146600,27798.0,Marilyn Burns,122454.0,Allen Danziger,122455.0,Paul A. Partain,0.0,0.0,0.0,5176801,"['New Line Cinema', 'Vortex']","[12, 1197]"
Tobe Hooper,10051.0,16337,4500000,9.501011,8000000,101.0,The Texas Chainsaw Massacre 2,5.8,142.0,1986,8,22,111751,Texas Chainsaw Massacre Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36643766,2778.0,Dennis Hopper,86923.0,Caroline Williams,104014.0,Jim Siedow,4368008.333333333,3099497.0,0.0,3733753,['Cannon Films'],[4110]
Jeff Burr,31621.0,25018,2000000,5.79907,55800000,81.0,Leatherface: Texas Chainsaw Massacre III,5.1,75.0,1990,1,12,111751,Texas Chainsaw Massacre Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1459898,151363.0,Kate Hodge,15070.0,Ken Foree,99600.0,R.A. Mihailoff,0.0,1261000.0,0.0,1261000,['Nicolas Entertainment'],[33306]
Kim Henkel,27797.0,16780,600000,6.854576,186000,95.0,Texas Chainsaw Massacre: The Next Generation,3.9,96.0,1994,1,1,111751,Texas Chainsaw Massacre Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9137.0,Renée Zellweger,10297.0,Matthew McConaughey,934061.0,Robert Jacks,14036444.5,27226623.33333333,0.0,20631534,['Ultra Muchos Productions'],[17479]
Peter Faiman,58453.0,9671,5000000,7.791212,328203506,97.0,Crocodile Dundee,6.3,512.0,1986,9,26,9332,Crocodile Dundee Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,57147.0,Paul Hogan,57166.0,Linda Kozlowski,14103.0,Mark Blum,0.0,0.0,27400000.0,27400000,"['Paramount Pictures', 'Rimfire Films']","[4, 15081]"
John Cornell,57594.0,9396,14000000,8.948565,239606210,110.0,Crocodile Dundee II,5.5,310.0,1988,5,19,9332,Crocodile Dundee Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,57147.0,Paul Hogan,57166.0,Linda Kozlowski,42841.0,John Meillon,328203506.0,328203506.0,328203506.0,328203506,['Paramount Pictures'],[4]
